,mae,rmse,mape,Category
BTC-USD,3336.0225360576924,4256.787974364293,0.03531598784065921,Crypto
ETH-USD,146.42624664306638,197.17371223298207,0.06057551868280769,Crypto
QQQ,13.448296855679516,17.229559412930623,0.02724942207230241,ETF
VOX,4.054249825237466,5.329234300212653,0.026694052344537058,ETF
