Date,True Price,Predicted Price
2024-12-22,3277.53515625,3698.5803
2024-12-23,3415.785400390625,3622.6643
2024-12-24,3492.0498046875,3555.518
2024-12-25,3493.2353515625005,3503.193
2024-12-26,3331.2258300781255,3464.7566
2024-12-27,3328.9169921875,3428.061
2024-12-28,3397.9023437499995,3396.2783
2024-12-29,3349.513427734375,3374.7363
2024-12-30,3356.392578125,3358.154
2024-12-31,3332.53173828125,3347.1648
2025-01-01,3353.504150390625,3339.2686
2025-01-02,3451.392578125,3335.7615
2025-01-03,3605.009765625,3342.22
2025-01-04,3657.706787109375,3365.385
2025-01-05,3634.103759765625,3401.8682
2025-01-06,3688.611328125,3443.8208
2025-01-07,3381.577392578125,3490.9678
2025-01-08,3326.3293457031255,3516.9363
2025-01-09,3219.4306640625,3524.3035
2025-01-10,3267.4899902343745,3510.4395
2025-01-11,3282.2177734375005,3486.181
2025-01-12,3265.951171875,3456.6138
2025-01-13,3135.4997558593745,3424.099
2025-01-14,3223.6845703125005,3382.993
2025-01-15,3450.53759765625,3345.5088
2025-01-16,3308.34521484375,3327.881
2025-01-17,3474.1071777343745,3314.63
2025-01-18,3305.78955078125,3318.0798
2025-01-19,3208.9643554687505,3320.7007
2025-01-20,3278.035400390625,3317.196
2025-01-21,3327.40625,3314.654
2025-01-22,3240.2246093750005,3315.635
2025-01-23,3334.714111328125,3312.808
2025-01-24,3309.554931640625,3314.5388
2025-01-25,3317.26953125,3317.0388
2025-01-26,3236.13427734375,3320.7358
2025-01-27,3178.92041015625,3319.4814
2025-01-28,3077.112548828125,3311.3977
2025-01-29,3112.9990234375,3292.2874
2025-01-30,3247.780029296875,3269.5225
2025-01-31,3298.26513671875,3254.3987
2025-02-01,3118.32861328125,3248.3958
2025-02-02,2868.69287109375,3237.0994
2025-02-03,2884.566650390625,3207.1892
2025-02-04,2735.05126953125,3168.3442
2025-02-05,2787.779052734375,3115.132
2025-02-06,2688.40087890625,3059.4011
2025-02-07,2622.211181640625,2998.4648
2025-02-08,2632.308349609375,2934.0789
2025-02-09,2628.72119140625,2872.3638
2025-02-10,2661.166748046875,2816.19
2025-02-11,2602.781982421875,2769.7131
2025-02-12,2736.902099609375,2729.3274
2025-02-13,2675.902587890625,2704.72
2025-02-14,2726.091552734375,2688.5312
2025-02-15,2693.559814453125,2683.0107
2025-02-16,2663.31591796875,2683.2031
2025-02-17,2743.19970703125,2685.7012
2025-02-18,2669.3388671875,2694.7986
2025-02-19,2715.77099609375,2702.9688
2025-02-20,2740.386474609375,2713.2476
2025-02-21,2659.655517578125,2725.704
2025-02-22,2764.029296875,2733.7266
2025-02-23,2821.310302734375,2745.09
2025-02-24,2513.8212890625,2761.353
2025-02-25,2493.592529296875,2760.2966
2025-02-26,2331.45263671875,2746.9133
2025-02-27,2305.484375,2714.8938
2025-02-28,2237.9052734375,2670.4143
2025-03-01,2216.643310546875,2615.4988
2025-03-02,2519.694580078125,2555.493
2025-03-03,2145.573974609375,2514.1511
2025-03-04,2170.01513671875,2465.0332
2025-03-05,2241.977294921875,2416.5635
2025-03-06,2202.476806640625,2375.3308
2025-03-07,2138.987548828125,2339.0784
2025-03-08,2201.51025390625,2304.9587
2025-03-09,2015.5091552734375,2278.1147
2025-03-10,1861.1513671875,2246.9216
2025-03-11,1919.8449707031252,2205.925
2025-03-12,1908.9826660156248,2163.6147
2025-03-13,1862.9696044921875,2121.7083
2025-03-14,1909.467529296875,2079.9119
2025-03-15,1937.3946533203125,2043.203
2025-03-16,1887.4350585937502,2013.6268
2025-03-17,1927.0029296875,1988.1077
2025-03-18,1932.54345703125,1969.1428
2025-03-19,2057.7490234375,1956.0942
2025-03-20,1982.099853515625,1954.8
2025-03-21,1964.8475341796875,1957.8346
2025-03-22,1980.0378417968752,1963.0098
2025-03-23,2005.2991943359375,1970.0995
2025-03-24,2077.47900390625,1979.3845
2025-03-25,2067.76416015625,1993.6257
2025-03-26,2009.1893310546875,2010.0953
2025-03-27,2002.357421875,2024.0986
2025-03-28,1895.5029296875,2035.1564
2025-03-29,1827.3203125,2037.3914
2025-03-30,1806.2186279296875,2029.36
2025-03-31,1823.47998046875,2013.1069
2025-04-01,1905.4914550781248,1992.7058
2025-04-02,1795.3132324218752,1974.9299
2025-04-03,1815.63720703125,1954.1466
2025-04-04,1815.335205078125,1933.7468
2025-04-05,1805.9732666015625,1914.6738
2025-04-06,1576.72802734375,1897.1313
2025-04-07,1555.240966796875,1869.5215
2025-04-08,1472.5531005859375,1835.1223
2025-04-09,1668.0400390625,1793.1288
2025-04-10,1522.5187988281248,1757.814
2025-04-11,1567.1497802734373,1721.73
2025-04-12,1643.528564453125,1689.4995
2025-04-13,1596.685791015625,1665.4598
2025-04-14,1622.7698974609375,1646.3094
2025-04-15,1588.6324462890625,1633.0043
2025-04-16,1578.1053466796875,1622.8206
2025-04-17,1582.54833984375,1614.7633
2025-04-18,1588.9246826171875,1608.687
2025-04-19,1612.9228515625,1604.5184
2025-04-20,1587.5142822265627,1603.0248
2025-04-21,1579.7344970703125,1602.2468
2025-04-22,1757.3316650390625,1601.5742
2025-04-23,1796.104248046875,1609.6959
2025-04-24,1769.8316650390625,1625.947
2025-04-25,1786.6345214843748,1646.2805
2025-04-26,1821.881103515625,1669.4563
2025-04-27,1792.8649902343752,1695.2509
2025-04-28,1798.851806640625,1720.1031
2025-04-29,1799.1756591796873,1743.2289
2025-04-30,1793.775390625,1763.8218
2025-05-01,1839.2215576171873,1781.179
2025-05-02,1842.7078857421873,1797.6505
