Date,True Price,Predicted Price
2025-05-21,109678.078125,106774.695
2025-05-22,111673.28125,107384.39
2025-05-23,107287.796875,108158.5
2025-05-24,107791.15625000001,108726.086
2025-05-25,109035.390625,109194.06
2025-05-26,109440.3671875,109640.805
2025-05-27,108994.640625,110061.42
2025-05-28,107802.328125,110410.86
2025-05-29,105641.75781249999,110626.1
2025-05-30,103998.5703125,110621.04
2025-05-31,104638.09374999999,110387.96
2025-06-01,105652.1015625,110063.7
2025-06-02,105881.53124999999,109745.61
2025-06-03,105432.46875,109448.73
2025-06-04,104731.98437500001,109150.09
2025-06-05,101575.953125,108826.79
2025-06-06,104390.34375,108321.81
2025-06-07,105615.62500000001,107915.24
2025-06-08,105793.6484375,107642.27
2025-06-09,110294.1015625,107471.47
2025-06-10,110257.23437500001,107643.57
2025-06-11,108686.62500000001,107997.35
2025-06-12,105929.0546875,108365.03
2025-06-13,106090.96875,108577.55
2025-06-14,105472.40625,108711.51
2025-06-15,105552.0234375,108748.664
2025-06-16,106796.7578125,108728.125
2025-06-17,104601.1171875,108741.68
2025-06-18,104883.328125,108634.8
2025-06-19,104684.2890625,108487.53
2025-06-20,103309.6015625,108305.695
2025-06-21,102257.40625,108028.87
2025-06-22,100987.140625,107651.09
2025-06-23,105577.77343749999,107157.695
2025-06-24,106045.63281249999,106894.06
2025-06-25,107361.25781249999,106784.125
2025-06-26,106960.0,106856.516
2025-06-27,107088.4296875,107014.555
2025-06-28,107327.703125,107235.76
2025-06-29,108385.57031249999,107503.88
2025-06-30,107135.33593750001,107852.39
2025-07-01,105698.28125,108155.4
2025-07-02,108859.3203125,108339.21
2025-07-03,109647.9765625,108634.19
2025-07-04,108034.33593750001,109007.4
2025-07-05,108231.1796875,109310.84
2025-07-06,109232.07031249999,109578.14
2025-07-07,108299.8515625,109865.38
2025-07-08,108950.2734375,110086.65
2025-07-09,111326.5546875,110298.49
2025-07-10,115987.20312499999,110627.61
2025-07-11,117516.99218749999,111272.086
2025-07-12,117435.22656250001,112143.61
2025-07-13,119116.11718749999,113105.12
2025-07-14,119849.70312500001,114179.69
2025-07-15,117777.1875,115304.92
2025-07-16,118738.5078125,116278.25
2025-07-18,120273.42968749999,117175.44
