Date,True Price,Predicted Price
2024-12-24,528.5772094726562,521.81396
2024-12-26,528.2181396484375,522.04944
2024-12-27,521.196533203125,522.4532
2024-12-30,514.2646484375,522.6737
2024-12-31,509.8961181640625,522.49414
2025-01-02,508.8987121582032,521.8845
2025-01-03,517.2269897460938,520.9749
2025-01-06,523.1713256835938,520.2452
2025-01-07,513.8358154296875,519.89575
2025-01-08,513.925537109375,519.4287
2025-01-10,505.86663818359375,518.9339
2025-01-13,504.2409057617188,518.1046
2025-01-14,503.76211547851557,517.03424
2025-01-15,515.351806640625,515.8253
2025-01-16,511.7413024902344,515.05145
2025-01-17,520.378662109375,514.43176
2025-01-21,523.4306640625,514.31525
2025-01-22,530.1232299804688,514.6497
2025-01-23,531.250244140625,515.5468
2025-01-24,528.248046875,516.8162
2025-01-27,512.8683471679688,518.1557
2025-01-28,520.448486328125,518.8536
2025-01-29,519.4710693359375,519.4296
2025-01-30,521.6852416992188,519.82806
2025-01-31,520.9271850585938,520.18536
2025-02-03,516.7581176757812,520.4652
2025-02-04,523.1015014648438,520.51416
2025-02-05,525.475341796875,520.67773
2025-02-06,528.2181396484375,520.9937
2025-02-07,521.5556030273438,521.51105
2025-02-10,527.8690795898438,521.8643
2025-02-11,526.6123657226562,522.3692
2025-02-12,526.9215698242188,522.8837
2025-02-13,534.5017700195312,523.40076
2025-02-14,536.7459106445312,524.2083
2025-02-18,537.962646484375,525.2512
2025-02-19,538.1123046875,526.4566
2025-02-20,535.8282470703125,527.7238
2025-02-21,524.7073974609375,528.88275
2025-02-24,518.5135498046875,529.46497
2025-02-25,511.98065185546875,529.40356
2025-02-26,513.2174072265625,528.6506
2025-02-27,498.9646911621094,527.52765
2025-02-28,506.84411621093756,525.61285
2025-03-03,495.75311279296875,523.6095
2025-03-04,494.25701904296875,521.1539
2025-03-05,500.7001647949219,518.4699
2025-03-06,486.92620849609375,516.01306
2025-03-07,490.50683593750006,513.23456
2025-03-10,471.49658203125,510.54007
2025-03-11,470.3695068359375,507.21997
2025-03-12,475.6756591796875,503.60986
2025-03-13,467.1180114746094,500.16336
2025-03-14,478.4084777832031,496.60825
2025-03-17,481.51034545898443,493.61343
2025-03-18,473.3018493652344,491.22784
2025-03-19,479.6352844238281,489.0189
2025-03-20,478.00955200195307,487.29807
2025-03-21,479.58538818359375,485.89352
2025-03-24,490.1095581054688,484.82745
2025-03-25,492.90643310546875,484.4603
2025-03-26,483.83660888671875,484.67566
2025-03-27,481.0797119140625,484.89957
2025-03-28,468.4139404296875,485.01764
2025-03-31,468.39398193359375,484.5291
2025-04-01,472.16973876953125,483.66162
2025-04-02,475.61584472656256,482.71735
2025-04-03,450.1544494628906,481.8947
2025-04-04,422.19586181640625,480.14062
2025-04-07,423.2146911621094,476.72592
2025-04-08,415.59326171875,472.39655
2025-04-09,465.47723388671875,467.29248
2025-04-10,445.6794738769531,463.92325
2025-04-11,453.8902282714844,461.00992
2025-04-14,456.96679687500006,458.9301
2025-04-15,457.4761962890625,457.616
2025-04-16,443.68170166015625,456.89322
2025-04-17,443.601806640625,456.0316
2025-04-21,432.6241149902344,455.11493
2025-04-22,443.98138427734375,453.73135
2025-04-23,454.050048828125,452.5559
2025-04-24,466.82571411132807,451.9597
2025-04-25,472.02987670898443,452.30096
2025-04-28,471.88003540039057,453.47412
2025-04-29,474.9965515136719,455.15884
2025-04-30,474.9366149902344,457.24695
2025-05-01,481.13964843749994,459.50604
2025-05-02,488.2816162109375,462.03378
2025-05-05,485.3848571777344,464.91568
2025-05-06,480.8699340820312,467.78485
2025-05-07,482.7578125,470.3419
2025-05-08,487.74224853515625,472.658
2025-05-09,487.4225769042969,474.90958
2025-05-12,507.28030395507807,477.00162
2025-05-13,515.0116577148438,479.7214
2025-05-14,518.09814453125,483.04135
2025-05-15,518.66748046875,486.75418
2025-05-16,520.9249877929688,490.59775
2025-05-19,521.4244384765625,494.45596
2025-05-20,519.6863403320312,498.17047
2025-05-21,512.4644165039062,501.5531
2025-05-22,513.4234008789062,504.2701
2025-05-23,508.668701171875,506.47516
2025-05-27,520.63525390625,508.04004
2025-05-28,518.3278198242188,509.61478
2025-05-29,519.3467407226562,511.0121
2025-05-30,518.5276489257812,512.2909
2025-06-02,522.623046875,513.4053
2025-06-03,526.7084350585938,514.5369
2025-06-04,528.1768188476562,515.7944
2025-06-05,524.2012329101562,517.13995
2025-06-06,529.3255004882812,518.3252
2025-06-09,530.1046752929688,519.5746
2025-06-10,533.6107177734375,520.8326
2025-06-11,531.8126831054688,522.1886
2025-06-12,533.061279296875,523.47205
2025-06-13,526.368896484375,524.7103
2025-06-16,533.6906127929688,525.58594
2025-06-17,528.4865112304688,526.4987
2025-06-18,528.3965454101562,527.16266
2025-06-20,526.239013671875,527.6449
2025-06-23,531.6500244140625,527.89545
2025-06-24,539.780029296875,528.2092
2025-06-25,541.1599731445312,528.8746
2025-06-26,546.219970703125,529.79083
2025-06-27,548.0900268554688,531.04834
2025-06-30,551.6400146484375,532.54736
2025-07-01,546.989990234375,534.28687
2025-07-02,550.7999877929688,535.9117
2025-07-03,556.219970703125,537.5571
2025-07-07,552.030029296875,539.353
2025-07-08,552.3400268554688,540.98596
2025-07-09,556.25,542.46497
2025-07-10,555.4500122070312,543.9346
2025-07-11,554.2000122070312,545.29047
2025-07-14,556.2100219726562,546.46533
2025-07-15,556.719970703125,547.55493
2025-07-16,557.2899780273438,548.5561
2025-07-17,561.7999877929688,549.479
