Date,True Price,Predicted Price
2024-12-24,158.5184326171875,160.30927
2024-12-26,158.3193817138672,160.22145
2024-12-27,156.53793334960938,160.15814
2024-12-30,155.12472534179688,160.04977
2024-12-31,154.21910095214844,159.86433
2025-01-02,155.29391479492188,159.59941
2025-01-03,156.75689697265625,159.32956
2025-01-06,159.46388244628906,159.11949
2025-01-07,157.34408569335938,159.05992
2025-01-08,156.50808715820312,159.02637
2025-01-10,154.3982391357422,158.98553
2025-01-13,153.86080932617188,158.86285
2025-01-14,152.96510314941406,158.66878
2025-01-15,156.4583282470703,158.39684
2025-01-16,155.32379150390625,158.21211
2025-01-17,156.89622497558594,158.04724
2025-01-21,158.2994842529297,157.9645
2025-01-22,159.17527770996094,157.9943
2025-01-23,160.6083984375,158.13443
2025-01-24,162.1609344482422,158.40118
2025-01-27,162.32017517089844,158.80461
2025-01-28,163.52438354492188,159.29393
2025-01-29,164.35040283203125,159.87096
2025-01-30,165.17645263671875,160.51743
2025-01-31,165.44515991210938,161.21812
2025-02-03,165.70391845703125,161.93933
2025-02-04,167.73416137695312,162.65686
2025-02-05,165.1963653564453,163.4196
2025-02-06,165.76361083984375,164.08801
2025-02-07,165.24610900878906,164.68973
2025-02-10,166.2910919189453,165.2014
2025-02-11,166.51004028320312,165.6695
2025-02-12,166.6493682861328,166.09586
2025-02-13,167.55502319335938,166.48216
2025-02-14,168.43081665039062,166.85982
2025-02-18,166.7886962890625,167.249
2025-02-19,166.28114318847656,167.57103
2025-02-20,165.17645263671875,167.8186
2025-02-21,162.13108825683594,167.9649
2025-02-24,161.7528839111328,167.92372
2025-02-25,159.4041748046875,167.74205
2025-02-26,159.5037078857422,167.38054
2025-02-27,157.443603515625,166.91177
2025-02-28,159.37432861328125,166.30704
2025-03-03,157.37393188476562,165.7032
2025-03-04,156.12991333007812,165.04462
2025-03-05,158.3990020751953,164.32896
2025-03-06,155.37353515625,163.6864
2025-03-07,155.99057006835938,163.00246
2025-03-10,150.85523986816406,162.34294
2025-03-11,149.32260131835938,161.53061
2025-03-12,150.65621948242188,160.589
2025-03-13,147.02365112304688,159.64076
2025-03-14,149.86004638671875,158.58073
2025-03-17,150.67611694335938,157.59245
2025-03-18,148.2079620361328,156.71698
2025-03-19,150.0690155029297,155.85889
2025-03-20,149.76051330566406,155.11998
2025-03-21,151.0343780517578,154.47803
2025-03-24,153.8209991455078,153.9777
2025-03-25,155.58990478515625,153.7008
2025-03-26,153.55462646484375,153.65622
2025-03-27,152.4072723388672,153.69864
2025-03-28,147.75804138183594,153.76044
2025-03-31,148.04736328125,153.65652
2025-04-01,149.0350799560547,153.454
2025-04-02,149.1947021484375,153.2229
2025-04-03,141.8716583251953,152.9824
2025-04-04,134.1195831298828,152.46263
2025-04-07,134.72817993164062,151.47546
2025-04-08,132.8126220703125,150.22339
2025-04-09,145.4134521484375,148.74933
2025-04-10,139.78648376464844,147.65794
2025-04-11,141.05355834960938,146.6442
2025-04-14,141.5025177001953,145.78503
2025-04-15,141.2530975341797,145.08551
2025-04-16,137.82102966308594,144.51663
2025-04-17,138.4595489501953,143.93001
2025-04-21,135.3068389892578,143.38124
2025-04-22,138.64910888671875,142.75479
2025-04-23,141.54241943359375,142.22803
2025-04-24,144.48561096191406,141.89731
2025-04-25,145.57308959960938,141.82835
2025-04-28,146.09188842773438,141.98735
2025-04-29,147.0696258544922,142.32228
2025-04-30,146.35128784179688,142.8072
2025-05-01,147.90768432617188,143.35101
2025-05-02,150.9007568359375,143.9763
2025-05-05,151.12025451660156,144.74796
2025-05-06,150.56155395507812,145.59811
2025-05-07,149.48403930664062,146.44994
2025-05-08,150.2123565673828,147.22963
2025-05-09,150.2223358154297,147.95728
2025-05-12,154.70196533203125,148.61899
2025-05-13,156.34815979003906,149.38036
2025-05-14,157.93447875976562,150.2409
2025-05-15,157.73495483398438,151.19923
2025-05-16,158.6627960205078,152.18275
2025-05-19,158.57301330566406,153.18402
2025-05-20,157.91452026367188,154.15614
2025-05-21,157.2660369873047,155.04662
2025-05-22,157.3757781982422,155.82233
2025-05-23,156.3880615234375,156.49274
2025-05-27,159.36117553710938,157.0259
2025-05-28,158.99203491210938,157.556
2025-05-29,158.3135986328125,158.04636
2025-05-30,158.99203491210938,158.46672
2025-06-02,159.9597930908203,158.84987
2025-06-03,159.29135131835938,159.22887
2025-06-04,160.97744750976562,159.56534
2025-06-05,160.95748901367188,159.92477
2025-06-06,163.5814208984375,160.28482
2025-06-09,163.70114135742188,160.73143
2025-06-10,165.75637817382812,161.22424
2025-06-11,164.8983612060547,161.80928
2025-06-12,163.66122436523438,162.40361
2025-06-13,162.06492614746094,162.93834
2025-06-16,165.08792114257812,163.3536
2025-06-17,163.66122436523438,163.7834
2025-06-18,163.53152465820312,164.1491
2025-06-20,161.60598754882812,164.45352
2025-06-23,163.31204223632812,164.63225
2025-06-24,165.65660095214844,164.7819
2025-06-25,165.48699951171875,164.98982
2025-06-26,167.7899932861328,165.2219
2025-06-27,169.9499969482422,165.54955
2025-06-30,171.02999877929688,166.01009
2025-07-01,169.6999969482422,166.58508
2025-07-02,169.85000610351562,167.17023
2025-07-03,170.83999633789062,167.74911
2025-07-07,169.5800018310547,168.33798
2025-07-08,169.1699981689453,168.86372
2025-07-09,170.05999755859375,169.31204
2025-07-10,169.83999633789062,169.72179
2025-07-11,169.0,170.07916
2025-07-14,170.5800018310547,170.35608
2025-07-15,169.30999755859375,170.62518
2025-07-16,169.64999389648438,170.83018
2025-07-17,170.3699951171875,170.99742
